,id,name,review_count,rating,price,location,zip_code
21,F1T2WFjUUC0PlRYRuE4ZSw,Tete A Tete,287,3.5,$$,"{'address1': '2601 E 14th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11235', 'country': 'US', 'state': 'NY', 'display_address': ['2601 E 14th St', 'Brooklyn, NY 11235']}",11235
22,_hNMRzm0QhR7I41plTbyXw,Nowadays,201,3.5,$$,"{'address1': '56-06 Cooper Ave', 'address2': '', 'address3': '', 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['56-06 Cooper Ave', 'Ridgewood, NY 11385']}",11385
23,_TTxlr1yIVAa5_p7TH4dEA,Cheung Hing Kitchen,3,2.0,$$,"{'address1': '19914 Hollis Ave', 'address2': '', 'address3': '', 'city': 'Saint Albans', 'zip_code': '11412', 'country': 'US', 'state': 'NY', 'display_address': ['19914 Hollis Ave', 'Saint Albans, NY 11412']}",11412
24,vpkTNjq9dRh9rT3Nh0pe-A,Nolita Pizza,191,4.5,$,"{'address1': '68 Kenmare St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['68 Kenmare St', 'New York, NY 10012']}",10012
25,59-JJp5t2OCFifY7DUQ2rQ,Bricktown Bagel & Cafe,301,3.0,$,"{'address1': '51-06 Vernon Blvd', 'address2': '', 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['51-06 Vernon Blvd', 'Long Island City, NY 11101']}",11101
26,dlOxo_eV7zvzjmoo1MHeOA,Mira Cali IV,2,4.5,,"{'address1': '82-02 Roosevelt Ave', 'address2': None, 'address3': '', 'city': 'Queens', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['82-02 Roosevelt Ave', 'Queens, NY 11372']}",11372
27,xOjlZteEqU0hzKvl1ADyLw,Dragon City Chinese Kitchen,17,3.0,$,"{'address1': '9510 Sutphin Blvd', 'address2': '', 'address3': '', 'city': 'Jamaica', 'zip_code': '11435', 'country': 'US', 'state': 'NY', 'display_address': ['9510 Sutphin Blvd', 'Jamaica, NY 11435']}",11435
28,YqWIbTBOOnyIPJ67XbJfhg,Burly Coffee,119,4.5,$,"{'address1': '356 Throop Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['356 Throop Ave', 'Brooklyn, NY 11221']}",11221
29,Gh4TyhJSqL_24fplLvVpGw,China Cocina,19,4.0,$$,"{'address1': '103-10 Roosevelt Ave', 'address2': '', 'address3': None, 'city': 'Queens', 'zip_code': '11368', 'country': 'US', 'state': 'NY', 'display_address': ['103-10 Roosevelt Ave', 'Queens, NY 11368']}",11368
30,XJ6KWgpkQf2PvLpO1W3-hw,Sunshine Grill & Restaurant,48,2.5,$,"{'address1': '255-09 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['255-09 Hillside Ave', 'Floral Park, NY 11004']}",11004
31,fBDnGXpDXFAgpZDB0XDSvQ,Cappone’s Salumeria,78,4.0,$$,"{'address1': '75 9th Ave', 'address2': None, 'address3': 'Chelsea Market', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['75 9th Ave', 'Chelsea Market', 'New York, NY 10011']}",10011
32,enLJO6ZIRQ1-dIWaWGRV9w,Olympia Sports Bar & Lounge,78,3.5,$$,"{'address1': '23-44 Steinway St', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['23-44 Steinway St', 'Astoria, NY 11105']}",11105
33,tF2yYHV_7hjKB_aokPcSJg,Le Pain Quotidien,6,2.0,,"{'address1': '210 Joralemon St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['210 Joralemon St', 'Brooklyn, NY 11201']}",11201
34,MdFV5IBcX-Ni6I4Zy1EqIw,Marlow Bistro,347,4.0,$$,"{'address1': '1018 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['1018 Amsterdam Ave', 'New York, NY 10025']}",10025
35,UBqLK5kg0kT72CIaBYa5Zg,Patron Mexican Grill,484,3.5,$$,"{'address1': '608 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['608 9th Ave', 'New York, NY 10036']}",10036
36,OuGtSrcNje21smKbqdjLvA,Pick N pay Caribbean Restaurant & Bakery,3,5.0,,"{'address1': '267 Utica Ave', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11213', 'country': 'US', 'state': 'NY', 'display_address': ['267 Utica Ave', 'Brooklyn, NY 11213']}",11213
37,tAKxpcMBspmLSqryKBFpCQ,No.1 Kitchen,11,3.0,$,"{'address1': '99 Braodway', 'address2': None, 'address3': '', 'city': 'Passaic', 'zip_code': '07055', 'country': 'US', 'state': 'NJ', 'display_address': ['99 Braodway', 'Passaic, NJ 07055']}",07055
